"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 10 16:28:03 GMT 2024","Wed Jan 10 16:28:08 GMT 2024","4831","firefox","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Wed Dec 27 14:36:14 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","940","chromium","api-poc.spec.js","","","","Checks number of wClassificationAttributes",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1107","chromium","api-poc.spec.js","","","","Checks maId is present",""
"broken","Tue Jan 09 12:59:06 GMT 2024","Tue Jan 09 13:01:07 GMT 2024","120223","webkit","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Wed Jan 10 16:27:55 GMT 2024","Wed Jan 10 16:27:57 GMT 2024","2371","chromium","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Wed Jan 10 16:27:51 GMT 2024","Wed Jan 10 16:27:55 GMT 2024","3722","chromium","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1121","chromium","api-poc.spec.js","","","","Checks Approval status for product variant",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","1987","chromium","api-poc.spec.js","","","","Test viax login with invalid credentials",""
"passed","Wed Jan 10 16:27:45 GMT 2024","Wed Jan 10 16:27:48 GMT 2024","3093","chromium","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","2207","chromium","api-poc.spec.js","","","","Test viax login with valid credentials",""
"passed","Wed Jan 10 16:27:48 GMT 2024","Wed Jan 10 16:27:51 GMT 2024","2443","chromium","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"broken","Tue Jan 09 12:58:56 GMT 2024","Tue Jan 09 12:59:26 GMT 2024","30480","webkit","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"broken","Tue Jan 09 12:59:07 GMT 2024","Tue Jan 09 12:59:37 GMT 2024","30264","webkit","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Wed Jan 10 16:28:08 GMT 2024","Wed Jan 10 16:28:12 GMT 2024","3852","firefox","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Wed Jan 10 16:27:57 GMT 2024","Wed Jan 10 16:28:01 GMT 2024","4038","firefox","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"broken","Tue Jan 09 12:59:04 GMT 2024","Tue Jan 09 12:59:34 GMT 2024","30254","webkit","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Wed Jan 10 16:28:01 GMT 2024","Wed Jan 10 16:28:03 GMT 2024","1921","firefox","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
